patch,champion_name,champion_name_kr,role,pick_count,pick_rate_pct,win_rate_pct,avg_kda,avg_gpm,avg_vision,sample_flag
15.3,Smolder,스몰더,TOP,15,0.032,40.0,1.683,398.8,13.8,LOW_N
15.3,Varus,바루스,MID,15,0.032,66.67,5.111,464.7,17.0,LOW_N
15.3,Viktor,빅토르,BOT,15,0.032,40.0,3.017,406.3,14.67,LOW_N
15.3,Zac,자크,SUPPORT,15,0.032,60.0,2.959,320.1,58.33,LOW_N
15.3,Zilean,질리언,MID,15,0.032,80.0,6.035,337.0,17.67,LOW_N
15.3,Annie,애니,SUPPORT,14,0.03,57.14,3.141,320.6,64.29,LOW_N
15.3,Ashe,애쉬,SUPPORT,14,0.03,28.57,2.745,304.6,65.14,LOW_N
15.3,AurelionSol,아우렐리온 솔,JUNGLE,14,0.03,50.0,4.001,429.4,17.93,LOW_N
15.3,Camille,카밀,SUPPORT,14,0.03,35.71,1.922,316.8,66.57,LOW_N
15.3,Brand,브랜드,JUNGLE,13,0.028,30.77,4.154,385.3,28.69,LOW_N
15.3,Chogath,초가스,SUPPORT,13,0.028,53.85,3.458,329.0,55.38,LOW_N
15.3,JarvanIV,자르반 4세,SUPPORT,13,0.028,30.77,3.489,355.1,60.54,LOW_N
15.3,Malphite,말파이트,SUPPORT,13,0.028,30.77,3.477,307.8,60.92,LOW_N
15.3,Nunu,누누와 윌럼프,MID,13,0.028,69.23,3.104,386.1,17.46,LOW_N
15.3,Sylas,사일러스,JUNGLE,13,0.028,69.23,3.26,427.4,21.0,LOW_N
15.3,XinZhao,신 짜오,TOP,13,0.028,69.23,2.139,405.7,14.23,LOW_N
15.3,Ambessa,암베사,JUNGLE,12,0.026,66.67,3.246,417.4,21.17,LOW_N
15.3,Malzahar,말자하,TOP,12,0.026,66.67,3.081,427.8,16.75,LOW_N
15.3,Nasus,나서스,JUNGLE,12,0.026,66.67,4.543,406.8,17.92,LOW_N
15.3,DrMundo,문도 박사,JUNGLE,11,0.024,45.45,3.478,383.1,21.64,LOW_N
15.3,Rammus,람머스,TOP,11,0.024,72.73,1.422,362.0,17.09,LOW_N
15.3,Renekton,레넥톤,MID,11,0.024,36.36,2.094,426.5,8.91,LOW_N
15.3,Shen,쉔,MID,11,0.024,45.45,4.621,354.9,15.36,LOW_N
15.3,Skarner,스카너,TOP,11,0.024,18.18,1.355,311.6,12.82,LOW_N
15.3,Twitch,트위치,JUNGLE,11,0.024,45.45,2.608,408.4,42.55,LOW_N
15.3,Zed,제드,TOP,11,0.024,63.64,2.987,432.2,13.09,LOW_N
15.3,Anivia,애니비아,SUPPORT,10,0.022,50.0,2.82,325.0,57.1,LOW_N
15.3,Ekko,에코,TOP,10,0.022,50.0,3.137,422.8,19.6,LOW_N
15.3,Galio,갈리오,TOP,10,0.022,30.0,2.276,370.0,14.3,LOW_N
15.3,Heimerdinger,하이머딩거,BOT,10,0.022,60.0,2.612,363.9,26.0,LOW_N
15.3,Ivern,아이번,SUPPORT,10,0.022,70.0,4.778,283.8,65.9,LOW_N
15.3,Jhin,진,MID,10,0.022,60.0,4.93,426.1,17.0,LOW_N
15.3,KSante,크산테,MID,10,0.022,30.0,2.798,372.8,14.6,LOW_N
15.3,Kaisa,카이사,TOP,10,0.022,50.0,2.461,461.5,13.4,LOW_N
15.3,Poppy,뽀삐,JUNGLE,10,0.022,40.0,2.371,359.5,31.1,LOW_N
15.3,Sion,사이온,JUNGLE,10,0.022,30.0,3.259,402.7,27.4,LOW_N
15.3,TwistedFate,트위스티드 페이트,SUPPORT,10,0.022,50.0,2.353,304.2,65.5,LOW_N
15.3,Zyra,자이라,MID,10,0.022,60.0,6.587,428.4,21.0,LOW_N
15.3,Anivia,애니비아,TOP,9,0.019,55.56,4.6,411.1,19.56,LOW_N
15.3,Caitlyn,케이틀린,MID,9,0.019,55.56,2.037,457.6,15.22,LOW_N
15.3,Gragas,그라가스,SUPPORT,9,0.019,33.33,1.678,305.9,65.78,LOW_N
15.3,Hwei,흐웨이,TOP,9,0.019,44.44,2.332,395.7,25.11,LOW_N
15.3,Naafiri,나피리,TOP,9,0.019,22.22,3.161,401.7,17.0,LOW_N
15.3,Seraphine,세라핀,MID,9,0.019,44.44,2.942,357.3,20.33,LOW_N
15.3,Sion,사이온,SUPPORT,9,0.019,22.22,1.657,318.4,48.22,LOW_N
